,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:17.1,806.25,-194.51,-309.91,97.6,74.63,,,
00:17.2,807.29,-194.39,-310.94,95.51,75.24,,,
00:17.3,808.34,-194.31,-311.99,93.43,75.86,,,
00:17.3,809.4,-194.26,-313.04,91.37,76.53,,,
00:17.4,810.47,-194.25,-314.11,89.29,77.25,,,
00:17.4,811.55,-194.28,-315.18,87.22,78,,,
00:17.5,812.64,-194.34,-316.27,85.15,78.81,,,
00:17.5,813.74,-194.44,-317.36,83.11,79.69,,,
00:17.6,814.86,-194.58,-318.47,81.09,80.65,,,
00:17.6,815.98,-194.75,-319.58,79.1,81.7,,,
00:17.6,817.13,-194.96,-320.7,77.18,82.86,,,
00:17.7,818.29,-195.21,-321.83,75.42,84.12,,,
00:17.7,819.46,-195.49,-322.97,73.85,85.47,,,
00:17.8,820.66,-195.81,-324.12,72.49,86.89,,,
00:17.8,821.87,-196.15,-325.29,71.37,88.23,,,
00:17.9,823.1,-196.53,-326.45,70.8,88.63,,,
00:17.9,824.33,-196.92,-327.62,70.75,88.64,,,
00:18.0,825.56,-197.31,-328.78,71.08,88.66,,,
00:18.0,826.8,-197.7,-329.95,71.77,88.66,,,
00:18.1,828.03,-198.07,-331.12,72.76,88.65,,,
00:18.1,829.26,-198.42,-332.3,74,88.63,,,
00:18.2,830.49,-198.74,-333.48,75.44,88.6,,,
00:18.3,831.72,-199.04,-334.67,77.01,88.55,,,
00:18.3,832.95,-199.3,-335.87,78.7,88.48,,,
00:18.4,834.18,-199.53,-337.07,80.46,88.39,,,
00:18.4,835.41,-199.73,-338.28,82.21,88.3,,,
00:18.4,836.63,-199.9,-339.49,83.91,88.19,,,
00:18.5,837.86,-200.03,-340.7,85.59,88.08,,,
00:18.6,839.08,-200.12,-341.92,87.24,87.98,,,
00:18.6,840.3,-200.18,-343.14,88.85,87.88,,,
00:18.6,841.52,-200.21,-344.35,90.41,87.77,,,
00:18.7,842.74,-200.2,-345.57,91.99,87.67,,,
00:18.7,843.95,-200.17,-346.78,93.6,87.55,,,
00:18.8,845.17,-200.1,-347.99,95.29,87.42,,,
00:18.8,846.38,-200,-349.2,97.11,87.25,,,
00:18.9,847.59,-199.87,-350.39,98.96,87.08,,,
00:19.0,848.8,-199.7,-351.59,100.63,86.91,,,
00:19.0,850,-199.49,-352.77,102.11,86.73,,,
00:19.1,851.2,-199.25,-353.94,103.56,86.55,,,
00:19.1,852.4,-198.97,-355.11,105.16,86.38,,,
00:19.1,853.6,-198.65,-356.26,106.86,86.21,,,
00:19.2,854.8,-198.31,-357.4,108.56,86.05,,,
00:19.3,855.99,-197.92,-358.53,110.25,85.87,,,
00:19.3,857.19,-197.51,-359.64,111.99,85.66,,,
00:19.4,858.38,-197.05,-360.73,113.93,85.44,,,
00:19.4,859.56,-196.56,-361.81,116.06,85.23,,,
00:19.5,860.75,-196.04,-362.86,118.17,85.03,,,
00:19.5,861.93,-195.47,-363.9,120.1,84.81,,,
00:19.6,863.11,-194.88,-364.91,122,84.6,,,
00:19.6,864.28,-194.24,-365.89,123.99,84.39,,,
00:19.6,865.45,-193.58,-366.85,126.04,84.18,,,
00:19.7,866.62,-192.88,-367.79,128.13,83.97,,,
00:19.7,867.79,-192.16,-368.7,130.22,83.75,,,
00:19.8,868.95,-191.41,-369.58,132.25,83.52,,,
00:19.8,870.11,-190.62,-370.43,134.24,83.27,,,
00:19.9,871.27,-189.81,-371.25,136.26,83.01,,,
00:20.0,872.42,-188.97,-372.04,138.33,82.78,,,
00:20.0,873.57,-188.11,-372.79,140.32,82.56,,,
00:20.1,874.72,-187.22,-373.51,142.25,82.32,,,
00:20.1,875.86,-186.31,-374.2,144.26,82.08,,,
00:20.1,877,-185.38,-374.85,146.37,81.84,,,
00:20.2,878.14,-184.43,-375.47,148.51,81.58,,,
00:20.3,879.27,-183.46,-376.05,150.67,81.31,,,
00:20.3,880.4,-182.47,-376.59,152.87,81.03,,,
00:20.4,881.53,-181.47,-377.09,154.94,80.78,,,
00:20.4,882.65,-180.45,-377.56,156.86,80.53,,,
00:20.5,883.77,-179.41,-377.98,158.78,80.28,,,
