,sLapDistance,xCarX,xCarY,vCar,aYaw
00:18.4,939.21,233.59,423,93.24,56.07
00:18.4,940.51,232.84,421.93,94.59,57.5
00:18.5,941.84,232.12,420.82,95.93,58.79
00:18.6,943.18,231.42,419.68,97.31,60
00:18.6,944.54,230.73,418.5,98.7,61.07
00:18.6,945.92,230.06,417.3,100.09,62.13
00:18.7,947.32,229.4,416.06,101.54,63.32
00:18.7,948.74,228.76,414.79,103.01,64.61
00:18.8,950.18,228.13,413.49,104.47,65.93
00:18.8,951.64,227.53,412.17,105.9,67.28
00:18.9,953.12,226.94,410.81,107.29,68.69
00:19.0,954.62,226.37,409.42,108.68,70.03
00:19.0,956.14,225.82,408.01,110.05,71.1
00:19.1,957.67,225.29,406.56,111.27,71.97
00:19.1,959.23,224.77,405.1,112.44,72.83
00:19.1,960.8,224.27,403.61,113.67,73.69
00:19.2,962.38,223.78,402.1,114.99,74.45
00:19.3,963.99,223.31,400.56,116.5,75.08
00:19.3,965.62,222.86,399,118.06,75.44
00:19.4,967.27,222.42,397.41,119.68,75.56
00:19.4,968.94,221.98,395.79,121.28,75.54
00:19.5,970.64,221.55,394.15,122.8,75.54
00:19.5,972.35,221.12,392.49,124.28,75.79
00:19.6,974.09,220.69,390.81,125.79,76.21
00:19.6,975.85,220.27,389.1,127.31,76.72
00:19.6,977.63,219.86,387.37,128.75,77.25
00:19.7,979.42,219.46,385.62,130.19,77.78
00:19.7,981.24,219.07,383.84,131.59,78.24
00:19.8,983.08,218.69,382.05,132.9,78.7
00:19.8,984.93,218.31,380.23,134.24,79.26
00:19.9,986.81,217.95,378.39,135.66,79.75
00:20.0,988.7,217.59,376.53,137.09,80.02
00:20.0,990.61,217.25,374.65,138.45,80.18
00:20.1,992.55,216.91,372.75,139.75,80.36
00:20.1,994.5,216.58,370.83,141.06,80.61
00:20.1,996.46,216.26,368.88,142.31,80.89
00:20.2,998.45,215.94,366.92,143.64,81.2
00:20.3,1000.45,215.62,364.95,144.91,81.45
00:20.3,1002.47,215.32,362.95,146.06,81.73
00:20.4,1004.51,215.02,360.93,147.32,82.17
00:20.4,1006.57,214.73,358.9,148.63,82.57
00:20.5,1008.64,214.46,356.84,149.8,82.91
00:20.5,1010.73,214.19,354.77,150.92,83.4
00:20.5,1012.83,213.94,352.68,152.12,84.05
00:20.6,1014.95,213.71,350.58,153.29,84.73
00:20.6,1017.09,213.49,348.45,154.44,85.29
00:20.7,1019.24,213.3,346.31,155.55,85.92
00:20.8,1021.41,213.13,344.14,156.71,86.58
00:20.8,1023.59,212.97,341.96,157.83,87.16
00:20.8,1025.79,212.84,339.77,158.87,87.75
00:20.9,1028.01,212.74,337.56,160.01,88.42
00:21.0,1030.23,212.65,335.33,161,89.02
00:21.0,1032.47,212.59,333.09,161.69,89.52
00:21.1,1034.72,212.55,330.84,162.26,90.26
00:21.1,1036.98,212.55,328.58,162.82,91.19
00:21.1,1039.24,212.57,326.32,163.29,92.06
00:21.2,1041.51,212.62,324.05,163.69,92.8
00:21.2,1043.79,212.7,321.77,164.07,93.55
00:21.3,1046.07,212.81,319.5,164.48,94.46
00:21.4,1048.36,212.96,317.21,164.9,95.25
00:21.4,1050.65,213.13,314.93,165.29,95.83
00:21.5,1052.95,213.34,312.64,165.62,96.56
00:21.5,1055.25,213.57,310.35,165.95,97.75
00:21.5,1057.55,213.84,308.06,166.27,99.05
00:21.6,1059.86,214.15,305.77,166.48,100.24
00:21.7,1062.17,214.5,303.48,166.66,101.65
00:21.7,1064.49,214.88,301.2,166.84,103.14
00:21.8,1066.81,215.32,298.93,167,104.49
00:21.8,1069.12,215.8,296.66,167.15,105.84
00:21.9,1071.44,216.33,294.4,167.32,107.12
00:21.9,1073.77,216.91,292.15,167.51,108.26
00:22.0,1076.09,217.53,289.91,167.65,109.54
00:22.0,1078.43,218.21,287.68,167.9,110.85
00:22.1,1080.76,218.94,285.46,168.1,111.62
00:22.1,1083.09,219.72,283.26,168.32,112.17
00:22.1,1085.43,220.55,281.07,168.61,113
00:22.2,1087.78,221.43,278.9,168.9,113.83
00:22.3,1090.13,222.34,276.74,169.16,114.92
00:22.3,1092.48,223.3,274.59,169.5,116.17
00:22.4,1094.83,224.31,272.46,169.9,117.61
00:22.4,1097.2,225.36,270.34,170.4,119
00:22.5,1099.57,226.46,268.24,170.84,120.03
00:22.5,1101.94,227.59,266.16,171.31,121.07
00:22.6,1104.32,228.76,264.08,171.83,122.08
00:22.6,1106.71,229.97,262.02,172.3,123.13
00:22.7,1109.1,231.21,259.97,172.82,124.5
00:22.7,1111.51,232.49,257.93,173.43,125.86
00:22.8,1113.92,233.81,255.91,173.97,127.03
00:22.8,1116.34,235.17,253.91,174.53,128.12
00:22.9,1118.76,236.56,251.92,175.08,129.08
00:22.9,1121.2,238,249.96,175.67,129.95
00:23.0,1123.64,239.47,248.01,176.31,130.7
00:23.0,1126.09,240.99,246.08,177.02,131.44
00:23.1,1128.55,242.54,244.17,177.9,132.11
00:23.1,1131.03,244.14,242.27,178.75,132.65
00:23.1,1133.52,245.76,240.39,179.62,133.11
00:23.2,1136.02,247.43,238.52,180.51,133.58
00:23.2,1138.53,249.12,236.67,181.41,134
00:23.3,1141.06,250.85,234.83,182.27,134.39
00:23.3,1143.59,252.6,232.99,183.16,134.91
00:23.4,1146.14,254.38,231.17,184.01,135.49
00:23.5,1148.71,256.19,229.35,184.93,136.08
00:23.5,1151.28,258.02,227.54,185.83,136.3
00:23.6,1153.87,259.87,225.73,186.26,136.22
00:23.6,1156.45,261.72,223.94,185.39,136.01
00:23.6,1159.01,263.56,222.15,183.72,135.78
00:23.7,1161.55,265.38,220.38,181.42,135.56
00:23.8,1164.05,267.16,218.63,178.7,135.27
00:23.8,1166.51,268.92,216.9,175.75,134.85
00:23.8,1168.93,270.63,215.19,172.61,134.32
00:23.9,1171.3,272.3,213.51,169.37,133.84
00:23.9,1173.63,273.93,211.85,166.07,133.4
00:24.0,1175.92,275.52,210.21,162.84,133.14
00:24.0,1178.16,277.07,208.59,159.69,132.91
00:24.1,1180.35,278.58,206.99,156.58,132.55
00:24.1,1182.51,280.05,205.41,153.68,132.01
00:24.2,1184.62,281.48,203.86,150.81,131.35
00:24.2,1186.7,282.87,202.32,148.17,130.52
00:24.3,1188.74,284.22,200.79,145.54,129.62
00:24.4,1190.74,285.53,199.27,143.23,128.68
00:24.4,1192.71,286.8,197.76,141.1,127.6
00:24.4,1194.66,288.02,196.25,139.05,126.58
00:24.5,1196.58,289.21,194.74,137.26,125.61
00:24.6,1198.47,290.35,193.22,135.67,124.85
00:24.6,1200.35,291.45,191.71,134.22,124.13
00:24.6,1202.2,292.51,190.19,132.87,123.34
00:24.7,1204.04,293.54,188.66,131.66,122.44
00:24.8,1205.86,294.53,187.14,130.5,121.33
00:24.8,1207.66,295.48,185.61,129.38,120.03
00:24.8,1209.45,296.4,184.07,128.3,118.66
00:24.9,1211.22,297.27,182.52,127.28,117.3
00:24.9,1212.98,298.11,180.97,126.37,115.97
00:25.0,1214.73,298.9,179.42,125.59,114.49
00:25.1,1216.47,299.66,177.85,124.98,112.93
00:25.1,1218.2,300.38,176.28,124.41,111.44
00:25.1,1219.92,301.06,174.69,123.83,109.74
00:25.2,1221.64,301.7,173.1,123.25,107.98
00:25.3,1223.34,302.29,171.5,122.6,106.4
00:25.3,1225.04,302.85,169.9,121.84,104.81
00:25.4,1226.72,303.35,168.29,121.03,103.3
00:25.4,1228.39,303.82,166.68,120.1,101.96
00:25.5,1230.05,304.24,165.08,119.05,100.41
00:25.5,1231.7,304.62,163.48,117.96,98.64
00:25.6,1233.32,304.96,161.88,116.81,96.96
