,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:17.5,741.47,425.21,-360.6,169.66,140.77,,,
00:17.6,743.44,427.14,-360.98,170,142.17,,,
00:17.6,745.42,429.09,-361.34,170.49,143.38,,,
00:17.6,747.42,431.06,-361.7,171.05,144.87,,,
00:17.7,749.44,433.05,-362.03,171.4,146.29,,,
00:17.7,751.49,435.07,-362.36,171.53,147.72,,,
00:17.8,753.55,437.1,-362.69,171.34,149.12,,,
00:17.8,755.63,439.16,-363.01,170.93,150.43,,,
00:17.9,757.73,441.23,-363.35,170.37,151.74,,,
00:17.9,759.84,443.32,-363.7,169.72,152.99,,,
00:18.0,761.97,445.41,-364.07,169.05,153.22,,,
00:18.0,764.09,447.5,-364.46,168.41,153.01,,,
00:18.1,766.22,449.58,-364.87,167.78,152.79,,,
00:18.1,768.34,451.66,-365.3,167.17,152.63,,,
00:18.2,770.46,453.73,-365.75,166.52,152.44,,,
00:18.3,772.57,455.79,-366.23,165.61,152.24,,,
00:18.3,774.69,457.84,-366.73,164.51,152.02,,,
00:18.4,776.8,459.88,-367.27,163.49,151.79,,,
00:18.4,778.9,461.91,-367.84,162.54,151.57,,,
00:18.4,781,463.93,-368.44,161.63,151.36,,,
00:18.5,783.1,465.93,-369.07,160.59,151.13,,,
00:18.6,785.2,467.93,-369.72,159.13,150.86,,,
00:18.6,787.29,469.9,-370.41,157.6,150.56,,,
00:18.6,789.38,471.86,-371.13,156.37,150.24,,,
00:18.7,791.46,473.8,-371.89,155.43,149.94,,,
00:18.7,793.54,475.72,-372.69,154.6,149.66,,,
00:18.8,795.62,477.63,-373.52,153.58,149.39,,,
00:18.8,797.69,479.51,-374.38,152.54,149.12,,,
00:18.9,799.76,481.38,-375.27,151.61,148.82,,,
00:19.0,801.82,483.23,-376.2,150.62,148.53,,,
00:19.0,803.88,485.05,-377.16,149.66,148.26,,,
00:19.1,805.94,486.86,-378.15,148.85,148.01,,,
00:19.1,807.99,488.64,-379.17,148.12,147.77,,,
00:19.1,810.04,490.4,-380.21,147.22,147.53,,,
00:19.2,812.09,492.15,-381.28,146.1,147.29,,,
00:19.3,814.13,493.87,-382.38,145.08,147.05,,,
00:19.3,816.17,495.57,-383.51,144.21,146.81,,,
00:19.4,818.21,497.25,-384.67,143.25,146.58,,,
00:19.4,820.24,498.9,-385.85,142.15,146.34,,,
00:19.5,822.27,500.54,-387.06,141.09,146.11,,,
00:19.5,824.3,502.14,-388.29,140.3,145.84,,,
00:19.6,826.32,503.73,-389.55,139.43,145.37,,,
00:19.6,828.33,505.28,-390.83,138.34,144.87,,,
00:19.6,830.34,506.81,-392.13,137.2,144.33,,,
00:19.7,832.34,508.31,-393.46,136.26,143.79,,,
00:19.7,834.33,509.79,-394.8,135.52,143.24,,,
00:19.8,836.32,511.23,-396.16,134.57,142.63,,,
00:19.8,838.29,512.65,-397.54,133.45,141.98,,,
00:19.9,840.26,514.04,-398.93,132.34,141.26,,,
00:20.0,842.21,515.39,-400.34,131.38,140.5,,,
00:20.0,844.16,516.72,-401.77,130.51,139.68,,,
00:20.1,846.09,518,-403.21,129.59,138.89,,,
00:20.1,848.02,519.26,-404.67,128.7,138.09,,,
00:20.1,849.93,520.48,-406.14,127.91,137.31,,,
00:20.2,851.83,521.68,-407.62,127.14,136.52,,,
00:20.3,853.72,522.84,-409.11,126.42,135.76,,,
00:20.3,855.6,523.97,-410.61,125.82,135.05,,,
00:20.4,857.47,525.08,-412.12,125.2,134.31,,,
00:20.4,859.33,526.17,-413.63,124.33,133.6,,,
00:20.5,861.18,527.23,-415.14,123.41,132.81,,,
00:20.5,863.02,528.26,-416.67,122.81,132.04,,,
00:20.5,864.85,529.26,-418.19,122.3,131.07,,,
00:20.6,866.66,530.24,-419.72,121.71,129.75,,,
00:20.6,868.45,531.19,-421.23,121.15,128.02,,,
00:20.7,870.21,532.12,-422.74,120.69,126.09,,,
00:20.8,871.95,533.01,-424.23,120.08,124.14,,,
00:20.8,873.66,533.88,-425.7,119.4,121.97,,,
00:20.8,875.34,534.71,-427.16,118.67,119.76,,,
00:20.9,876.99,535.52,-428.6,118.15,117.63,,,
00:21.0,878.61,536.29,-430.02,117.89,115.5,,,
00:21.0,880.2,537.04,-431.42,117.38,113.48,,,
00:21.1,881.76,537.76,-432.81,116.83,111.32,,,
00:21.1,883.29,538.45,-434.17,116.25,109.12,,,
00:21.1,884.79,539.12,-435.52,115.68,107.04,,,
00:21.2,886.26,539.76,-436.84,115.23,105.05,,,
00:21.2,887.71,540.38,-438.15,114.8,103.11,,,
00:21.3,889.13,540.98,-439.44,114.34,101.25,,,
00:21.4,890.52,541.55,-440.71,113.87,99.43,,,
00:21.4,891.89,542.1,-441.96,113.38,97.66,,,
00:21.5,893.24,542.64,-443.19,112.93,95.98,,,
00:21.5,894.56,543.15,-444.41,112.44,94.36,,,
00:21.5,895.86,543.64,-445.62,111.85,92.78,,,
00:21.6,897.14,544.11,-446.8,111.15,91.22,,,
00:21.7,898.39,544.56,-447.98,110.39,89.7,,,
00:21.7,899.63,544.98,-449.14,109.5,88.17,,,
00:21.8,900.84,545.38,-450.29,108.51,86.7,,,
00:21.8,902.04,545.75,-451.42,107.47,85.31,,,
00:21.9,903.22,546.09,-452.55,106.41,84.08,,,
00:21.9,904.38,546.41,-453.66,105.28,82.94,,,
00:22.0,905.52,546.7,-454.77,104.09,81.82,,,
00:22.0,906.65,546.96,-455.87,102.82,80.72,,,
00:22.1,907.76,547.2,-456.96,101.4,79.68,,,
00:22.1,908.86,547.4,-458.04,99.82,78.65,,,
00:22.1,909.95,547.57,-459.11,98.23,77.55,,,
00:22.2,911.02,547.72,-460.17,96.67,76.4,,,
00:22.3,912.07,547.83,-461.21,95.06,75.19,,,
00:22.3,913.11,547.91,-462.25,93.42,73.91,,,
00:22.4,914.13,547.95,-463.26,91.71,72.55,,,
00:22.4,915.13,547.97,-464.26,89.89,71.21,,,
00:22.5,916.11,547.95,-465.24,88.05,69.84,,,
00:22.5,917.07,547.91,-466.2,86.34,68.42,,,
00:22.6,918.01,547.84,-467.14,84.75,67.04,,,
