,sLapDistance,xCarX,xCarY,aYaw,vCar
00:20.5,746.22,-104.11,-94.87,-169.59,178.49
00:20.5,748.7,-101.66,-94.46,-169.29,179.35
00:20.5,751.2,-99.2,-94.03,-169.11,180.12
00:20.6,753.7,-96.74,-93.58,-168.98,180.02
00:20.6,756.19,-94.28,-93.12,-168.87,179.79
00:20.7,758.69,-91.83,-92.65,-168.5,179.54
00:20.8,761.18,-89.39,-92.16,-168.02,179.24
00:20.8,763.67,-86.95,-91.66,-167.62,178.96
00:20.8,766.15,-84.52,-91.14,-167.3,178.69
00:20.9,768.63,-82.1,-90.61,-167.01,178.45
00:21.0,771.11,-79.69,-90.06,-166.76,178.22
00:21.0,773.58,-77.28,-89.51,-166.43,177.98
00:21.1,776.05,-74.87,-88.94,-165.74,177.7
00:21.1,778.52,-72.48,-88.35,-165.27,177.4
00:21.1,780.98,-70.09,-87.75,-165.03,177.13
00:21.2,783.44,-67.71,-87.12,-164.67,176.89
00:21.2,785.9,-65.34,-86.48,-164.14,176.64
00:21.3,788.35,-62.98,-85.82,-163.51,176.36
00:21.4,790.79,-60.63,-85.14,-162.77,176.08
00:21.4,793.24,-58.29,-84.44,-161.96,175.79
00:21.5,795.68,-55.96,-83.71,-161.28,175.49
00:21.5,798.11,-53.65,-82.96,-160.66,175.21
00:21.5,800.54,-51.34,-82.18,-160.07,174.91
00:21.6,802.97,-49.05,-81.38,-159.58,174.64
00:21.7,805.39,-46.77,-80.55,-159.16,174.37
00:21.7,807.81,-44.5,-79.71,-158.77,174.1
00:21.8,810.23,-42.25,-78.85,-158.15,173.84
00:21.8,812.64,-40,-77.97,-157.53,173.56
00:21.9,815.05,-37.77,-77.07,-157,173.28
00:21.9,817.45,-35.54,-76.15,-156.39,173
00:22.0,819.86,-33.34,-75.21,-155.92,172.74
00:22.0,822.25,-31.14,-74.25,-155.67,172.49
00:22.1,824.64,-28.95,-73.28,-154.71,172.21
00:22.1,827.03,-26.78,-72.29,-153.47,171.9
00:22.1,829.42,-24.62,-71.27,-153,171.58
00:22.2,831.8,-22.48,-70.22,-152.89,171.31
00:22.3,834.18,-20.35,-69.16,-152.89,170.96
00:22.3,836.54,-18.24,-68.09,-152.72,170.44
00:22.4,838.91,-16.13,-67.02,-152.02,169.52
00:22.4,841.25,-14.05,-65.94,-151.25,167.48
00:22.5,843.56,-12.01,-64.86,-151.09,165.62
00:22.5,845.85,-10,-63.77,-151.1,163.84
00:22.6,848.11,-8.01,-62.69,-150.93,162.05
00:22.6,850.35,-6.05,-61.61,-150.71,160.17
00:22.7,852.56,-4.12,-60.53,-150.37,158.3
00:22.7,854.75,-2.22,-59.46,-149.97,156.4
00:22.8,856.91,-0.34,-58.38,-149.79,154.75
00:22.8,859.04,1.51,-57.31,-149.56,153.33
00:22.9,861.17,3.35,-56.24,-148.73,152.5
00:22.9,863.28,5.16,-55.17,-147.6,150.64
00:23.0,865.36,6.94,-54.1,-147.06,148.51
00:23.0,867.4,8.68,-53.02,-147.09,146.98
00:23.1,869.44,10.4,-51.93,-146.92,145.52
00:23.1,871.45,12.09,-50.84,-146.59,143.99
00:23.1,873.44,13.76,-49.76,-146.25,142.34
00:23.2,875.4,15.4,-48.67,-145.79,140.69
00:23.2,877.34,17.01,-47.59,-145.36,139.09
00:23.3,879.26,18.59,-46.51,-144.97,137.49
00:23.3,881.16,20.15,-45.42,-144.52,135.91
00:23.4,883.04,21.69,-44.34,-144.11,134.31
00:23.5,884.89,23.19,-43.26,-143.7,132.66
00:23.5,886.72,24.67,-42.18,-143.25,130.97
00:23.6,888.53,26.12,-41.1,-142.67,129.22
00:23.6,890.31,27.54,-40.02,-141.99,127.45
