,sLapDistance,xCarX,xCarY,aYaw,vCar
00:14.4,612.08,-166.42,-372.93,-158.45,74.93
00:14.5,613.11,-165.46,-372.55,-156.57,74.07
00:14.5,614.14,-164.53,-372.13,-154.62,73.26
00:14.6,615.15,-163.62,-371.69,-152.58,72.53
00:14.6,616.15,-162.73,-371.21,-150.52,71.93
00:14.6,617.15,-161.87,-370.71,-148.48,71.4
00:14.7,618.14,-161.04,-370.19,-146.44,70.89
00:14.7,619.12,-160.23,-369.63,-144.36,70.38
00:14.8,620.1,-159.45,-369.05,-142.2,69.88
00:14.8,621.07,-158.69,-368.45,-140.02,69.37
00:14.9,622.03,-157.96,-367.82,-137.82,68.87
00:14.9,622.98,-157.27,-367.17,-135.64,68.4
00:15.0,623.93,-156.6,-366.5,-133.47,68.15
00:15.0,624.88,-155.96,-365.8,-131.34,68.22
00:15.1,625.83,-155.34,-365.08,-129.26,68.57
00:15.1,626.79,-154.75,-364.33,-127.19,69.12
00:15.2,627.76,-154.18,-363.55,-125.14,69.81
00:15.2,628.73,-153.64,-362.74,-123.16,70.53
00:15.3,629.72,-153.11,-361.91,-121.28,71.31
00:15.3,630.72,-152.6,-361.05,-119.44,72.15
00:15.4,631.72,-152.12,-360.17,-117.63,72.99
00:15.4,632.75,-151.66,-359.26,-115.81,73.87
00:15.5,633.78,-151.22,-358.33,-113.95,74.74
00:15.6,634.82,-150.8,-357.37,-112.07,75.61
00:15.6,635.88,-150.41,-356.39,-110.21,76.48
00:15.7,636.95,-150.05,-355.38,-108.34,77.35
00:15.7,638.03,-149.72,-354.35,-106.47,78.24
00:15.8,639.12,-149.41,-353.31,-104.77,79.18
00:15.8,640.23,-149.13,-352.24,-103.31,80.13
00:15.9,641.35,-148.88,-351.14,-101.84,81.11
00:15.9,642.48,-148.65,-350.03,-100.3,82.15
00:16.0,643.63,-148.44,-348.9,-98.72,83.22
00:16.0,644.79,-148.27,-347.76,-97.07,84.28
00:16.1,645.97,-148.12,-346.59,-95.32,85.36
00:16.1,647.17,-147.99,-345.4,-93.67,86.49
00:16.1,648.37,-147.9,-344.2,-92.25,87.66
00:16.2,649.6,-147.84,-342.97,-91.03,88.85
00:16.3,650.84,-147.8,-341.73,-89.92,90.05
00:16.3,652.1,-147.79,-340.47,-88.73,91.22
00:16.3,653.37,-147.81,-339.2,-87.37,92.31
00:16.4,654.66,-147.86,-337.91,-85.85,93.32
