,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:13.0,606.99,137.05,77.32,-165.92,217.56,,,
00:13.1,610.01,139.97,78.07,-166.13,217.65,,,
00:13.1,613.04,142.9,78.82,-166.61,217.61,,,
00:13.1,616.05,145.82,79.56,-166.82,216.43,,,
00:13.2,619.04,148.72,80.27,-166.62,214.21,,,
00:13.2,622,151.58,80.98,-166.23,211.6,,,
00:13.3,624.92,154.42,81.67,-165.93,208.9,,,
00:13.3,627.8,157.21,82.36,-165.78,206.38,,,
00:13.4,630.65,159.98,83.04,-165.58,204.34,,,
00:13.4,633.47,162.72,83.72,-165.36,202.91,,,
00:13.5,636.28,165.44,84.4,-165.09,201.12,,,
00:13.6,639.06,168.14,85.07,-164.75,199.38,,,
00:13.6,641.81,170.81,85.74,-164.37,196.84,,,
00:13.6,644.53,173.44,86.4,-163.99,193.96,,,
00:13.7,647.2,176.03,87.07,-163.76,191.51,,,
00:13.8,649.84,178.59,87.74,-163.65,189.28,,,
00:13.8,652.45,181.11,88.42,-163.61,186.95,,,
00:13.9,655.04,183.6,89.11,-163.8,184.72,,,
00:13.9,657.59,186.05,89.79,-163.94,182.62,,,
00:14.0,660.11,188.48,90.47,-163.89,180.74,,,
00:14.0,662.6,190.89,91.16,-163.75,179.12,,,
00:14.1,665.08,193.27,91.84,-163.42,177.83,,,
00:14.1,667.54,195.63,92.52,-162.79,176.58,,,
00:14.2,669.98,197.98,93.21,-161.6,175.18,,,
00:14.2,672.4,200.29,93.91,-159.85,173.17,,,
00:14.3,674.79,202.57,94.64,-158.12,170.86,,,
00:14.3,677.14,204.8,95.4,-156.67,168.81,,,
00:14.3,679.48,206.99,96.2,-155.51,167.29,,,
00:14.4,681.79,209.15,97.04,-154.72,165.96,,,
00:14.5,684.09,211.27,97.92,-154.04,164.71,,,
00:14.5,686.36,213.36,98.82,-153.44,163.43,,,
00:14.6,688.62,215.42,99.76,-152.84,162.12,,,
00:14.6,690.87,217.44,100.73,-152.22,160.85,,,
00:14.6,693.09,219.43,101.73,-151.55,159.65,,,
00:14.7,695.3,221.39,102.76,-150.76,158.57,,,
00:14.7,697.5,223.31,103.8,-149.9,157.49,,,
00:14.8,699.68,225.21,104.88,-149.05,156.24,,,
00:14.8,701.84,227.08,105.97,-148.09,154.83,,,
00:14.9,703.98,228.9,107.08,-147.01,153.3,,,
00:14.9,706.1,230.69,108.22,-145.82,151.8,,,
00:15.0,708.19,232.45,109.37,-144.51,150.38,,,
00:15.0,710.27,234.16,110.54,-143.2,148.9,,,
00:15.1,712.33,235.84,111.72,-141.96,147.43,,,
00:15.1,714.36,237.48,112.93,-140.73,145.96,,,
00:15.2,716.38,239.08,114.16,-139.53,144.59,,,
00:15.2,718.38,240.64,115.41,-138.49,143.36,,,
00:15.3,720.36,242.16,116.69,-137.61,142.3,,,
00:15.3,722.33,243.65,117.98,-136.76,141.19,,,
00:15.4,724.28,245.1,119.28,-135.85,140.13,,,
00:15.4,726.22,246.52,120.6,-134.86,138.84,,,
00:15.5,728.14,247.9,121.93,-133.54,137.43,,,
00:15.6,730.04,249.24,123.28,-131.95,135.92,,,
00:15.6,731.91,250.53,124.64,-130.5,134.52,,,
00:15.7,733.77,251.78,126.02,-129.31,133.29,,,
00:15.7,735.61,252.98,127.42,-128.29,132.21,,,
00:15.8,737.44,254.15,128.83,-127.15,131.19,,,
00:15.8,739.26,255.28,130.25,-125.92,130.1,,,
00:15.9,741.05,256.37,131.68,-124.71,128.87,,,
00:15.9,742.83,257.41,133.12,-123.45,127.66,,,
00:16.0,744.6,258.42,134.57,-122.2,126.54,,,
00:16.0,746.35,259.38,136.03,-121,125.52,,,
00:16.1,748.08,260.31,137.5,-119.78,124.54,,,
00:16.1,749.81,261.19,138.98,-118.4,123.63,,,
00:16.1,751.52,262.04,140.47,-116.92,122.7,,,
00:16.2,753.21,262.85,141.96,-115.44,121.78,,,
