,sLapDistance,xCarX,xCarY,aYaw,vCar
00:14.9,620.31,377.3,467.53,-110.31,108.42
00:15.0,621.8,377.8,468.93,-111.12,106.1
00:15.0,623.26,378.32,470.29,-112,103.94
00:15.1,624.69,378.85,471.62,-113.18,101.9
00:15.1,626.09,379.4,472.91,-114.26,99.85
00:15.2,627.46,379.96,474.16,-115.37,97.92
00:15.2,628.81,380.53,475.38,-116.68,96.06
00:15.3,630.13,381.12,476.56,-117.99,94.13
00:15.3,631.43,381.72,477.71,-119.33,92.32
00:15.4,632.7,382.34,478.82,-120.74,90.7
00:15.4,633.95,382.97,479.89,-122.11,89.01
00:15.5,635.17,383.62,480.93,-123.55,87.41
00:15.6,636.38,384.28,481.94,-125.08,86.03
00:15.6,637.56,384.96,482.91,-126.54,84.7
00:15.7,638.73,385.65,483.85,-128.14,83.44
00:15.7,639.88,386.36,484.75,-129.79,82.37
00:15.8,641.02,387.09,485.62,-131.34,81.27
00:15.8,642.14,387.83,486.46,-132.96,80.16
00:15.9,643.24,388.59,487.27,-134.73,79.09
00:15.9,644.34,389.36,488.04,-136.49,78.07
00:16.0,645.41,390.14,488.78,-138.29,77.06
00:16.0,646.48,390.94,489.48,-140.17,76.14
00:16.1,647.53,391.75,490.15,-142.03,75.25
00:16.1,648.57,392.57,490.78,-143.86,74.45
00:16.1,649.6,393.41,491.38,-145.69,73.69
00:16.2,650.62,394.26,491.94,-147.7,72.89
00:16.3,651.63,395.12,492.46,-150,72.19
00:16.3,652.64,395.99,492.94,-152.48,71.61
00:16.3,653.63,396.88,493.38,-154.82,71.08
00:16.4,654.62,397.78,493.78,-157.09,70.49
00:16.5,655.6,398.69,494.13,-159.49,69.94
00:16.5,656.57,399.6,494.44,-161.93,69.44
00:16.6,657.53,400.52,494.71,-164.39,68.92
00:16.6,658.49,401.45,494.94,-167.02,68.39
00:16.6,659.45,402.38,495.12,-169.86,67.91
00:16.7,660.39,403.31,495.25,-172.72,67.45
00:16.7,661.33,404.24,495.34,-175.47,66.97
00:16.8,662.27,405.16,495.38,-178.21,66.49
00:16.9,663.19,406.08,495.37,107.01,66.01
00:16.9,664.12,406.99,495.32,176.17,65.57
00:16.9,665.03,407.89,495.21,173.38,65.14
00:17.0,665.94,408.78,495.07,170.45,64.7
00:17.0,666.84,409.66,494.88,167.48,64.42
00:17.1,667.74,410.52,494.65,164.52,64.42
00:17.1,668.65,411.38,494.38,161.7,64.59
00:17.2,669.55,412.22,494.07,159.08,64.95
00:17.3,670.46,413.06,493.72,156.5,65.46
00:17.3,671.38,413.88,493.33,153.82,66.09
00:17.4,672.31,414.7,492.9,151.12,66.7
00:17.4,673.24,415.5,492.43,148.46,67.29
00:17.5,674.19,416.28,491.92,145.95,67.89
00:17.5,675.14,417.06,491.37,143.58,68.46
00:17.6,676.09,417.81,490.78,141.21,69.05
00:17.6,677.06,418.55,490.16,138.86,69.72
00:17.6,678.04,419.27,489.51,136.59,70.42
00:17.7,679.02,419.97,488.82,134.32,71.17
00:17.7,680.02,420.65,488.09,132.05,72.02
00:17.8,681.03,421.31,487.33,129.79,72.92
00:17.8,682.05,421.95,486.54,127.69,73.83
00:17.9,683.09,422.57,485.72,125.78,74.79
00:17.9,684.13,423.17,484.86,124.04,75.73
00:18.0,685.19,423.75,483.98,122.38,76.76
00:18.0,686.27,424.31,483.06,120.88,77.8
00:18.1,687.36,424.86,482.12,119.41,78.88
00:18.1,688.46,425.39,481.15,117.89,79.97
00:18.2,689.58,425.9,480.16,116.23,81.13
00:18.3,690.72,426.39,479.13,114.53,82.24
00:18.3,691.87,426.86,478.08,112.84,83.39
00:18.4,693.04,427.3,477.01,111.19,84.49
00:18.4,694.22,427.72,475.9,109.59,85.62
00:18.4,695.42,428.12,474.77,108.12,86.82
00:18.5,696.63,428.5,473.62,106.97,88.01
00:18.6,697.86,428.85,472.44,105.94,89.25
00:18.6,699.11,429.19,471.24,104.77,90.47
00:18.6,700.38,429.51,470.02,103.43,91.72
00:18.7,701.66,429.81,468.77,102.16,92.99
