,sLapDistance,xCarX,xCarY,aYaw,vCar
00:14.4,441.65,16.79,298,-143.34,69.86
00:14.5,442.62,17.55,298.6,-141.12,69.17
00:14.5,443.58,18.28,299.21,-138.85,68.49
00:14.6,444.52,18.98,299.85,-136.71,67.82
00:14.6,445.46,19.65,300.5,-134.76,67.15
00:14.6,446.39,20.29,301.17,-132.84,66.48
00:14.7,447.31,20.9,301.86,-130.82,65.79
00:14.7,448.23,21.47,302.57,-128.66,65.12
00:14.8,449.13,22.01,303.29,-126.44,64.47
00:14.8,450.02,22.52,304.02,-124.21,63.82
00:14.9,450.91,22.99,304.77,-122,63.19
00:14.9,451.78,23.43,305.52,-119.79,62.6
00:15.0,452.65,23.83,306.29,-117.5,62.04
00:15.0,453.51,24.2,307.06,-115.18,61.49
00:15.1,454.37,24.54,307.84,-112.89,60.95
00:15.1,455.21,24.84,308.63,-110.66,60.43
00:15.2,456.05,25.1,309.42,-108.45,60.23
00:15.2,456.89,25.34,310.22,-106.34,60.22
00:15.3,457.73,25.54,311.03,-104.24,60.21
00:15.3,458.57,25.72,311.85,-101.94,60.16
00:15.4,459.41,25.85,312.68,-99.5,60.16
00:15.4,460.25,25.96,313.51,-97.05,60.37
00:15.5,461.1,26.03,314.34,-94.66,60.8
00:15.6,461.95,26.06,315.19,-92.28,61.39
00:15.6,462.81,26.06,316.05,-89.9,62.02
00:15.7,463.68,26.02,316.91,-87.67,62.68
00:15.7,464.56,25.96,317.79,-85.79,63.33
00:15.8,465.44,25.87,318.66,-84.11,63.97
00:15.8,466.34,25.75,319.55,-82.26,64.63
00:15.9,467.24,25.61,320.44,-79.97,65.16
00:15.9,468.15,25.43,321.33,-77.44,65.6
00:16.0,469.06,25.23,322.22,-75.12,66.16
00:16.0,469.99,25,323.12,-72.9,66.73
00:16.1,470.92,24.73,324.01,-70.59,67.46
00:16.1,471.86,24.43,324.9,-68.15,68.15
00:16.1,472.81,24.08,325.79,-65.77,68.75
00:16.2,473.77,23.7,326.67,-63.61,69.37
00:16.3,474.74,23.29,327.54,-61.65,69.94
00:16.3,475.71,22.83,328.4,-59.95,70.21
00:16.3,476.69,22.35,329.25,-58.41,70.39
00:16.4,477.67,21.83,330.08,-56.94,70.74
00:16.5,478.65,21.28,330.9,-55.56,71.28
00:16.5,479.65,20.7,331.71,-54.1,71.97
00:16.6,480.65,20.09,332.51,-52.41,72.75
00:16.6,481.67,19.46,333.3,-50.54,73.54
00:16.6,482.7,18.79,334.08,-48.57,74.31
00:16.7,483.74,18.08,334.84,-46.59,75.05
00:16.7,484.79,17.35,335.59,-44.66,75.78
00:16.8,485.85,16.59,336.32,-42.8,76.52
00:16.9,486.92,15.79,337.03,-40.87,77.37
00:16.9,488,14.97,337.73,-38.83,78.24
00:16.9,489.09,14.11,338.41,-36.8,79.14
00:17.0,490.2,13.22,339.06,-34.91,80.07
00:17.0,491.32,12.3,339.7,-33.03,81.02
00:17.1,492.45,11.35,340.31,-31.03,81.98
00:17.1,493.6,10.36,340.89,-29.12,83.08
00:17.2,494.76,9.34,341.45,-27.39,84.08
00:17.3,495.94,8.3,341.99,-25.57,85.19
00:17.3,497.13,7.23,342.51,-23.6,86.35
00:17.4,498.33,6.12,343,-21.55,87.38
00:17.4,499.55,5,343.46,-19.48,88.21
00:17.5,500.78,3.85,343.9,-17.41,88.89
00:17.5,502.02,2.68,344.31,-15.35,89.46
00:17.6,503.26,1.49,344.69,-13.29,90
00:17.6,504.51,0.29,345.04,-11.21,90.49
00:17.6,505.76,-0.93,345.35,-9.13,90.95
00:17.7,507.03,-2.17,345.64,-7.1,91.44
00:17.7,508.3,-3.42,345.89,-5.19,91.96
00:17.8,509.57,-4.68,346.11,-3.36,92.5
00:17.8,510.85,-5.95,346.29,-1.56,93.01
00:17.9,512.15,-7.24,346.43,0.31,93.47
00:17.9,513.44,-8.54,346.54,2.17,93.96
00:18.0,514.75,-9.84,346.61,3.91,94.52
00:18.0,516.06,-11.16,346.63,5.54,95.14
00:18.1,517.38,-12.49,346.61,7.1,95.77
00:18.1,518.72,-13.82,346.55,8.3,96.52
00:18.2,520.06,-15.16,346.46,8.79,97.55
00:18.3,521.43,-16.52,346.34,8.4,98.81
00:18.3,522.81,-17.89,346.19,7.51,100.04
00:18.4,524.21,-19.28,346.03,6.89,101.54
00:18.4,525.63,-20.69,345.86,6.72,103.15
00:18.4,527.07,-22.13,345.69,7.08,104.75
00:18.5,528.54,-23.58,345.49,7.96,106.31
00:18.6,530.03,-25.05,345.27,9.26,107.81
00:18.6,531.53,-26.54,345.03,10.73,109.27
00:18.6,533.06,-28.04,344.75,12.07,110.7
00:18.7,534.61,-29.55,344.43,13.33,112.06
00:18.7,536.17,-31.08,344.09,14.57,113.41
00:18.8,537.76,-32.62,343.7,15.82,114.63
00:18.8,539.35,-34.16,343.29,17.09,115.67
00:18.9,540.96,-35.71,342.84,18.06,116.03
00:19.0,542.57,-37.25,342.36,18.71,115.88
00:19.0,544.17,-38.77,341.87,19.36,115
00:19.1,545.76,-40.28,341.35,20.03,113.85
00:19.1,547.33,-41.76,340.82,20.62,112.47
00:19.1,548.88,-43.21,340.28,21.23,110.85
00:19.2,550.41,-44.64,339.73,21.89,109.09
00:19.3,551.92,-46.03,339.18,22.46,107.4
00:19.3,553.39,-47.4,338.61,22.99,105.71
00:19.4,554.85,-48.74,338.03,23.89,104.24
00:19.4,556.29,-50.05,337.45,24.75,102.66
00:19.5,557.7,-51.34,336.86,25.41,101.04
00:19.5,559.09,-52.6,336.27,26.14,99.44
00:19.6,560.46,-53.83,335.67,26.74,97.65
00:19.6,561.8,-55.03,335.07,27.1,95.83
00:19.6,563.12,-56.21,334.47,27.45,94.07
00:19.7,564.42,-57.35,333.87,27.86,92.36
00:19.7,565.69,-58.48,333.28,28.24,90.63
00:19.8,566.93,-59.57,332.69,28.64,88.93
00:19.8,568.16,-60.65,332.1,28.96,87.3
00:19.9,569.36,-61.7,331.51,29.2,85.78
00:20.0,570.54,-62.73,330.94,29.37,84.42
00:20.0,571.71,-63.74,330.37,29.37,83.08
00:20.1,572.85,-64.74,329.81,29.19,81.81
00:20.1,573.98,-65.73,329.26,28.78,80.73
00:20.1,575.1,-66.71,328.74,28.11,79.83
00:20.2,576.2,-67.69,328.23,27.19,79.13
00:20.3,577.3,-68.67,327.74,26,78.59
00:20.3,578.39,-69.66,327.29,24.55,78.12
00:20.4,579.47,-70.65,326.86,22.88,77.72
00:20.4,580.55,-71.65,326.46,21.12,77.34
00:20.5,581.62,-72.66,326.09,19.42,76.97
00:20.5,582.69,-73.67,325.75,17.76,76.56
00:20.5,583.75,-74.69,325.45,15.97,76.07
00:20.6,584.8,-75.7,325.18,13.98,75.44
00:20.6,585.85,-76.72,324.94,11.92,74.62
00:20.7,586.88,-77.73,324.74,9.86,73.65
00:20.8,587.9,-78.73,324.58,7.75,72.59
00:20.8,588.9,-79.72,324.45,5.68,71.5
00:20.8,589.89,-80.71,324.36,3.71,70.41
00:20.9,590.86,-81.67,324.31,1.71,69.34
00:21.0,591.82,-82.63,324.3,-0.46,68.37
00:21.0,592.76,-83.57,324.32,-2.57,67.51
00:21.1,593.7,-84.5,324.37,-4.44,66.67
00:21.1,594.62,-85.42,324.46,-6.17,65.85
00:21.1,595.53,-86.32,324.58,-8.01,65.03
00:21.2,596.43,-87.21,324.73,-10.04,64.25
00:21.2,597.32,-88.07,324.91,-12.17,63.53
00:21.3,598.2,-88.93,325.12,-14.26,62.85
00:21.4,599.07,-89.76,325.36,-16.3,62.2
00:21.4,599.93,-90.58,325.62,-18.3,61.59
00:21.5,600.78,-91.38,325.91,-20.36,60.97
00:21.5,601.63,-92.16,326.23,-22.57,60.36
00:21.5,602.46,-92.92,326.57,-24.73,59.8
00:21.6,603.29,-93.66,326.94,-26.83,59.22
00:21.7,604.11,-94.38,327.33,-29,58.58
00:21.7,604.93,-95.07,327.75,-31.3,57.94
00:21.8,605.73,-95.74,328.2,-33.72,57.34
00:21.8,606.53,-96.38,328.66,-36.09,56.87
00:21.9,607.32,-96.99,329.16,-38.35,56.9
00:21.9,608.12,-97.59,329.67,-40.49,57.13
00:22.0,608.92,-98.17,330.22,-42.59,57.5
00:22.0,609.73,-98.74,330.79,-44.76,57.99
00:22.1,610.54,-99.29,331.38,-47.03,58.53
00:22.1,611.36,-99.82,332,-49.3,59.05
00:22.1,612.19,-100.33,332.64,-51.5,59.58
00:22.2,613.02,-100.83,333.31,-53.68,60.11
00:22.3,613.86,-101.3,334,-55.81,60.63
00:22.3,614.71,-101.75,334.72,-57.9,61.21
00:22.4,615.57,-102.18,335.46,-60.09,61.81
00:22.4,616.44,-102.58,336.22,-62.35,62.4
00:22.5,617.31,-102.96,337.01,-64.54,63.01
00:22.5,618.19,-103.31,337.81,-66.73,63.62
00:22.6,619.09,-103.63,338.64,-68.93,64.23
00:22.6,619.99,-103.92,339.49,-70.82,64.87
00:22.7,620.89,-104.2,340.35,-72.46,65.55
00:22.7,621.81,-104.45,341.23,-73.96,66.28
