,sLapDistance,xCarX,xCarY,aYaw,vCar
00:16.9,1727.09,-165.25,447.69,70.81,78.99
00:16.9,1728.2,-165.63,446.65,71.77,80.18
00:17.0,1729.32,-166,445.59,72.69,81.47
00:17.0,1730.46,-166.35,444.51,73.58,82.8
00:17.1,1731.62,-166.69,443.4,74.52,84.17
00:17.1,1732.8,-167.02,442.27,75.56,85.56
00:17.2,1734,-167.33,441.11,76.68,86.96
00:17.3,1735.21,-167.62,439.93,77.84,88.33
00:17.3,1736.45,-167.89,438.72,78.91,89.65
00:17.4,1737.7,-168.15,437.5,79.87,90.97
00:17.4,1738.98,-168.39,436.25,80.68,92.3
00:17.5,1740.27,-168.62,434.98,81.41,93.67
00:17.5,1741.58,-168.83,433.68,82.1,95.07
00:17.6,1742.91,-169.03,432.37,82.73,96.52
00:17.6,1744.26,-169.22,431.03,83.33,98
00:17.6,1745.63,-169.39,429.67,83.89,99.51
00:17.7,1747.02,-169.55,428.29,84.46,101
00:17.7,1748.43,-169.7,426.88,85.07,102.44
00:17.8,1749.87,-169.85,425.46,85.77,103.85
00:17.8,1751.32,-169.98,424.01,86.57,105.25
00:17.9,1752.79,-170.1,422.54,87.48,106.58
00:17.9,1754.27,-170.21,421.06,88.47,107.87
00:18.0,1755.78,-170.31,419.55,89.53,109.13
00:18.0,1757.3,-170.4,418.03,90.63,110.35
00:18.1,1758.84,-170.47,416.49,91.71,111.52
00:18.1,1760.4,-170.53,414.94,92.65,112.78
00:18.2,1761.97,-170.57,413.36,93.24,114.19
00:18.3,1763.57,-170.6,411.77,93.35,115.53
00:18.3,1765.18,-170.61,410.15,93.08,116.72
00:18.4,1766.81,-170.61,408.52,92.46,118.02
00:18.4,1768.46,-170.6,406.88,91.52,119.44
00:18.4,1770.13,-170.59,405.21,90.48,120.9
00:18.5,1771.82,-170.59,403.52,89.58,122.42
00:18.6,1773.53,-170.59,401.81,88.95,123.86
00:18.6,1775.26,-170.61,400.08,88.52,125.22
00:18.6,1777.01,-170.64,398.33,88.17,126.53
00:18.7,1778.78,-170.69,396.56,87.85,127.93
00:18.7,1780.56,-170.74,394.78,87.59,129.36
00:18.8,1782.37,-170.81,392.97,87.38,130.71
00:18.8,1784.19,-170.89,391.15,87.19,132.01
00:18.9,1786.04,-170.97,389.31,86.99,133.29
00:19.0,1787.9,-171.07,387.45,86.76,134.55
00:19.0,1789.77,-171.17,385.58,86.52,135.81
00:19.1,1791.67,-171.28,383.68,86.26,137.05
00:19.1,1793.58,-171.4,381.78,85.99,138.32
00:19.1,1795.51,-171.53,379.85,85.75,139.55
00:19.2,1797.46,-171.67,377.91,85.51,140.73
00:19.3,1799.42,-171.82,375.95,85.29,141.94
00:19.3,1801.4,-171.98,373.98,85.11,143.13
00:19.4,1803.4,-172.14,371.99,84.95,144.3
00:19.4,1805.41,-172.31,369.99,84.82,145.46
00:19.5,1807.44,-172.49,367.97,84.68,146.59
00:19.5,1809.48,-172.68,365.93,84.55,147.73
00:19.6,1811.54,-172.87,363.88,84.4,148.85
00:19.6,1813.61,-173.07,361.81,84.24,149.98
00:19.6,1815.7,-173.28,359.73,84.05,151.06
00:19.7,1817.81,-173.5,357.64,83.82,152.17
00:19.7,1819.93,-173.72,355.53,83.58,153.26
00:19.8,1822.07,-173.96,353.41,83.35,154.31
00:19.8,1824.22,-174.2,351.27,83.08,155.31
00:19.9,1826.38,-174.46,349.12,82.72,156.35
00:20.0,1828.56,-174.73,346.96,82.33,157.44
00:20.0,1830.76,-175.01,344.78,82.01,158.44
00:20.1,1832.96,-175.31,342.6,81.63,159.4
00:20.1,1835.18,-175.62,340.4,81.17,160.43
00:20.1,1837.42,-175.95,338.19,80.79,161.46
00:20.2,1839.67,-176.3,335.97,80.49,162.33
00:20.3,1841.93,-176.66,333.73,80.01,163.25
00:20.3,1844.2,-177.04,331.49,79.6,164.34
00:20.4,1846.49,-177.44,329.24,79.44,165.26
00:20.4,1848.79,-177.85,326.97,79.3,166.2
00:20.5,1851.11,-178.27,324.7,79.11,167.09
00:20.5,1853.43,-178.7,322.41,78.77,167.88
00:20.5,1855.77,-179.15,320.12,78.34,168.93
00:20.6,1858.13,-179.61,317.81,78.07,169.87
00:20.6,1860.49,-180.09,315.49,77.86,170.67
00:20.7,1862.86,-180.58,313.17,77.63,170.38
00:20.8,1865.22,-181.07,310.87,77.51,168.67
00:20.8,1867.54,-181.57,308.6,77.49,166.17
00:20.8,1869.83,-182.06,306.36,77.5,163.34
00:20.9,1872.08,-182.54,304.17,77.58,160.43
00:21.0,1874.29,-183.02,302.01,77.79,157.52
00:21.0,1876.45,-183.48,299.89,78.05,154.47
00:21.1,1878.58,-183.92,297.81,78.52,151.5
00:21.1,1880.66,-184.34,295.77,79.41,148.81
00:21.1,1882.71,-184.73,293.76,80.18,146.3
00:21.2,1884.73,-185.09,291.78,81.15,144.09
00:21.2,1886.72,-185.42,289.82,82.24,142.1
00:21.3,1888.68,-185.72,287.88,83.18,140.22
00:21.4,1890.61,-185.98,285.96,84.24,138.54
00:21.4,1892.52,-186.21,284.06,85.3,137
00:21.5,1894.42,-186.41,282.18,86.32,135.55
00:21.5,1896.29,-186.57,280.31,87.29,134.19
00:21.5,1898.14,-186.7,278.46,88.1,132.9
00:21.6,1899.98,-186.8,276.63,88.88,131.65
00:21.7,1901.8,-186.86,274.81,89.81,130.44
