,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:17.6,464.02,24.96,325.2,-83.82,59.71,,,
00:17.6,464.85,24.85,326.02,-82.17,59.44,,,
00:17.7,465.67,24.72,326.84,-80.55,59.16,,,
00:17.7,466.49,24.56,327.64,-78.85,58.88,,,
00:17.8,467.31,24.38,328.44,-77.06,58.62,,,
00:17.8,468.13,24.17,329.22,-75.22,58.35,,,
00:17.9,468.94,23.93,330,-73.31,58.09,,,
00:17.9,469.75,23.68,330.76,-71.38,57.83,,,
00:18.0,470.55,23.39,331.51,-69.43,57.58,,,
00:18.0,471.35,23.09,332.25,-67.5,57.32,,,
00:18.1,472.15,22.76,332.97,-65.59,57.06,,,
00:18.1,472.94,22.41,333.68,-63.66,56.79,,,
00:18.2,473.73,22.04,334.37,-61.7,56.53,,,
00:18.3,474.52,21.64,335.05,-59.74,56.27,,,
00:18.3,475.3,21.23,335.71,-57.79,56.01,,,
00:18.4,476.08,20.79,336.35,-55.83,55.75,,,
00:18.4,476.86,20.33,336.97,-53.85,55.49,,,
00:18.4,477.63,19.86,337.57,-51.82,55.24,,,
00:18.5,478.4,19.36,338.16,-49.76,54.99,,,
00:18.6,479.16,18.85,338.72,-47.72,54.75,,,
00:18.6,479.93,18.31,339.26,-45.69,54.5,,,
00:18.6,480.69,17.76,339.78,-43.66,54.26,,,
00:18.7,481.44,17.2,340.27,-41.61,54.01,,,
00:18.7,482.19,16.62,340.75,-39.52,53.9,,,
00:18.8,482.95,16.02,341.2,-37.38,54.09,,,
00:18.8,483.71,15.4,341.63,-35.29,54.47,,,
00:18.9,484.47,14.77,342.04,-33.35,54.92,,,
00:19.0,485.24,14.11,342.44,-31.5,55.43,,,
00:19.0,486.02,13.43,342.82,-29.66,56.08,,,
00:19.1,486.8,12.74,343.18,-27.8,56.83,,,
00:19.1,487.6,12.02,343.52,-25.96,57.65,,,
00:19.1,488.41,11.28,343.85,-24.13,58.53,,,
00:19.2,489.23,10.52,344.16,-22.33,59.45,,,
00:19.3,490.07,9.75,344.45,-20.58,60.39,,,
00:19.3,490.92,8.95,344.72,-18.88,61.38,,,
00:19.4,491.78,8.13,344.98,-17.24,62.41,,,
00:19.4,492.65,7.29,345.22,-15.69,63.47,,,
00:19.5,493.54,6.42,345.44,-14.24,64.57,,,
00:19.5,494.45,5.54,345.64,-12.9,65.68,,,
00:19.6,495.37,4.64,345.83,-11.68,66.8,,,
00:19.6,496.31,3.72,346.01,-10.55,67.94,,,
00:19.6,497.26,2.79,346.17,-9.44,69.09,,,
00:19.7,498.23,1.83,346.32,-8.32,70.23,,,
00:19.7,499.21,0.86,346.45,-7.22,71.37,,,
00:19.8,500.21,-0.14,346.56,-6.15,72.54,,,
00:19.8,501.22,-1.15,346.67,-5.16,73.72,,,
00:19.9,502.26,-2.18,346.75,-4.21,74.93,,,
00:20.0,503.31,-3.22,346.82,-3.23,76.17,,,
00:20.0,504.37,-4.29,346.88,-2.2,77.44,,,
00:20.1,505.46,-5.37,346.91,-1.13,78.71,,,
00:20.1,506.56,-6.47,346.93,-0.05,80,,,
00:20.1,507.68,-7.59,346.93,0.98,81.33,,,
00:20.2,508.82,-8.73,346.91,1.93,82.7,,,
00:20.3,509.98,-9.89,346.87,2.8,84.12,,,
00:20.3,511.16,-11.07,346.81,3.64,85.56,,,
00:20.4,512.36,-12.26,346.73,4.49,86.97,,,
00:20.4,513.57,-13.48,346.63,5.28,88.37,,,
00:20.5,514.81,-14.71,346.51,5.99,89.76,,,
00:20.5,516.07,-15.95,346.37,6.76,91.08,,,
00:20.5,517.34,-17.22,346.22,7.63,92.38,,,
00:20.6,518.63,-18.5,346.05,8.57,93.66,,,
00:20.6,519.94,-19.79,345.85,9.56,94.89,,,
00:20.7,521.27,-21.1,345.64,10.61,96.08,,,
00:20.8,522.61,-22.42,345.4,11.66,97.22,,,
00:20.8,523.97,-23.76,345.14,12.72,98.37,,,
00:20.8,525.34,-25.1,344.86,13.81,99.52,,,
00:20.9,526.73,-26.46,344.55,14.82,100.67,,,
00:21.0,528.14,-27.82,344.21,15.72,101.88,,,
00:21.0,529.56,-29.2,343.85,16.52,103.08,,,
00:21.1,531,-30.59,343.46,17.09,104.33,,,
00:21.1,532.46,-31.98,343.05,17.43,105.55,,,
00:21.1,533.93,-33.4,342.63,17.67,106.81,,,
00:21.2,535.42,-34.82,342.19,17.98,108.03,,,
00:21.2,536.93,-36.26,341.72,18.57,109.16,,,
00:21.3,538.45,-37.7,341.24,19.31,109.47,,,
00:21.4,539.97,-39.13,340.74,20.04,109.33,,,
00:21.4,541.48,-40.56,340.23,20.57,109.22,,,
00:21.5,543,-41.98,339.71,20.85,109.11,,,
00:21.5,544.51,-43.4,339.17,21.08,109,,,
00:21.5,546.03,-44.81,338.63,21.41,108.86,,,
00:21.6,547.54,-46.22,338.08,21.69,108.43,,,
00:21.7,549.04,-47.61,337.52,21.98,107.66,,,
00:21.7,550.52,-48.99,336.96,22.29,106.73,,,
