,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:16.2,705.39,-275.24,61.45,-99.46,44.34,,,
00:16.3,706.01,-275.09,62.05,-102.12,44.81,,,
00:16.3,706.65,-274.92,62.65,-104.75,45.3,,,
00:16.3,707.29,-274.71,63.25,-107.63,45.87,,,
00:16.4,707.94,-274.47,63.84,-110.62,46.49,,,
00:16.5,708.6,-274.2,64.43,-113.54,47.15,,,
00:16.5,709.27,-273.9,65.02,-116.33,47.77,,,
00:16.6,709.95,-273.57,65.6,-119.15,48.4,,,
00:16.6,710.63,-273.21,66.17,-121.97,49.14,,,
00:16.6,711.33,-272.81,66.74,-124.67,49.99,,,
00:16.7,712.04,-272.38,67.29,-127.34,50.92,,,
00:16.7,712.76,-271.93,67.84,-130.02,51.9,,,
00:16.8,713.49,-271.44,68.38,-132.69,52.81,,,
00:16.9,714.23,-270.92,68.91,-135.41,53.75,,,
00:16.9,714.99,-270.37,69.43,-137.85,54.8,,,
00:16.9,715.76,-269.8,69.93,-139.76,55.88,,,
00:17.0,716.55,-269.19,70.42,-141.22,56.97,,,
00:17.0,717.35,-268.55,70.91,-142.47,58,,,
00:17.1,718.17,-267.9,71.39,-143.76,59.04,,,
00:17.1,719,-267.21,71.85,-145.26,60.23,,,
00:17.2,719.84,-266.5,72.31,-146.88,61.46,,,
00:17.3,720.71,-265.77,72.77,-148.6,62.62,,,
00:17.3,721.59,-265.01,73.21,-150.39,63.77,,,
00:17.4,722.48,-264.23,73.64,-152.25,64.88,,,
00:17.4,723.39,-263.42,74.05,-154.13,66.03,,,
00:17.5,724.32,-262.59,74.45,-155.92,67.2,,,
00:17.5,725.26,-261.73,74.84,-157.61,68.39,,,
00:17.6,726.22,-260.85,75.21,-159.2,69.57,,,
00:17.6,727.19,-259.94,75.57,-160.66,70.75,,,
00:17.6,728.18,-259.01,75.91,-161.92,71.9,,,
00:17.7,729.19,-258.05,76.22,-163.04,73.06,,,
00:17.7,730.21,-257.08,76.53,-164.14,74.22,,,
00:17.8,731.25,-256.08,76.82,-165.26,75.36,,,
00:17.8,732.3,-255.06,77.09,-166.35,76.52,,,
00:17.9,733.38,-254.02,77.36,-167.38,77.65,,,
00:17.9,734.46,-252.97,77.61,-168.31,78.77,,,
00:18.0,735.56,-251.89,77.85,-169.22,79.94,,,
00:18.0,736.68,-250.79,78.07,-170.14,81.16,,,
00:18.1,737.82,-249.68,78.28,-171.02,82.46,,,
00:18.1,738.97,-248.54,78.47,-171.81,83.78,,,
00:18.2,740.14,-247.38,78.65,-172.42,85.12,,,
00:18.3,741.34,-246.2,78.81,-172.89,86.49,,,
00:18.3,742.55,-245,78.97,-173.32,87.9,,,
00:18.4,743.78,-243.78,79.11,-173.8,89.28,,,
00:18.4,745.03,-242.53,79.24,-174.33,90.67,,,
00:18.4,746.3,-241.27,79.37,-174.89,92.06,,,
00:18.5,747.59,-239.99,79.49,-175.39,93.49,,,
00:18.6,748.89,-238.68,79.6,-175.82,94.92,,,
00:18.6,750.22,-237.36,79.7,-176.18,96.29,,,
00:18.6,751.57,-236.02,79.79,-176.49,97.63,,,
00:18.7,752.93,-234.65,79.88,-176.79,98.94,,,
00:18.7,754.31,-233.28,79.96,-177.11,100.06,,,
00:18.8,755.71,-231.88,80.04,-177.6,100.99,,,
00:18.8,757.12,-230.47,80.12,-178.24,101.97,,,
00:18.9,758.54,-229.05,80.19,-178.94,103.29,,,
00:19.0,759.99,-227.61,80.25,-179.58,104.89,,,
00:19.0,761.46,-226.14,80.29,-179.73,106.43,,,
00:19.1,762.94,-224.65,80.31,-179.59,107.8,,,
00:19.1,764.45,-223.15,80.34,-179.37,109.02,,,
00:19.1,765.97,-221.62,80.36,-179.17,110.19,,,
00:19.2,767.51,-220.09,80.38,-179.11,111.48,,,
00:19.3,769.07,-218.53,80.4,-179.13,112.76,,,
