,sLapDistance,xCarX,xCarY,aYaw,vCar
00:18.1,717.45,-267.68,70.43,-150.82,59.72
00:18.2,718.29,-266.94,70.84,-151.82,61.17
00:18.3,719.15,-266.19,71.25,-152.73,62.67
00:18.3,720.03,-265.4,71.65,-153.64,64.1
00:18.4,720.93,-264.59,72.04,-154.61,65.79
00:18.4,721.86,-263.75,72.43,-155.6,67.69
00:18.4,722.81,-262.88,72.81,-156.69,69.48
00:18.5,723.79,-261.97,73.19,-157.77,71.27
00:18.6,724.79,-261.04,73.56,-158.66,73.17
00:18.6,725.83,-260.08,73.93,-159.57,75.08
00:18.6,726.88,-259.09,74.3,-160.5,76.87
00:18.7,727.96,-258.08,74.66,-161.43,78.52
00:18.7,729.06,-257.03,75.01,-162.42,80.12
00:18.8,730.18,-255.96,75.36,-163.44,81.63
00:18.8,731.33,-254.87,75.69,-164.46,83.12
00:18.9,732.49,-253.75,76.01,-165.42,84.68
00:19.0,733.68,-252.61,76.33,-166.28,86.21
00:19.0,734.88,-251.44,76.63,-167.08,87.71
00:19.1,736.11,-250.24,76.92,-167.74,89.23
00:19.1,737.36,-249.03,77.21,-168.35,90.83
00:19.1,738.63,-247.78,77.48,-169.02,92.49
00:19.2,739.93,-246.51,77.74,-169.68,94.25
00:19.3,741.25,-245.21,77.99,-170.34,96.1
00:19.3,742.6,-243.89,78.23,-171,97.95
00:19.4,743.97,-242.54,78.46,-171.7,99.7
00:19.4,745.37,-241.16,78.68,-172.51,101.29
00:19.5,746.79,-239.75,78.88,-173.36,102.86
00:19.5,748.23,-238.33,79.07,-174.21,104.47
00:19.6,749.69,-236.87,79.24,-175.1,106.06
00:19.6,751.17,-235.4,79.4,-176.01,107.54
00:19.6,752.67,-233.9,79.54,-176.87,108.92
00:19.7,754.19,-232.39,79.66,-177.74,110.12
00:19.7,755.72,-230.85,79.77,-178.83,111.2
00:19.8,757.28,-229.3,79.86,-35.95,112.38
00:19.8,758.85,-227.73,79.93,179.49,114
00:19.9,760.45,-226.14,79.97,179.69,115.96
00:20.0,762.07,-224.51,80,-179.63,117.79
00:20.0,763.72,-222.87,80.03,-178.99,119.33
00:20.1,765.38,-221.2,80.06,-178.48,120.75
00:20.1,767.07,-219.51,80.1,-178.14,122.22
00:20.1,768.78,-217.81,80.14,-177.93,123.72
00:20.2,770.51,-216.08,80.19,-177.89,125.47
00:20.3,772.27,-214.32,80.24,-177.99,127.29
00:20.3,774.05,-212.54,80.3,-178.19,128.93
00:20.4,775.85,-210.74,80.35,-178.41,130.54
00:20.4,777.67,-208.92,80.4,-178.6,132.09
00:20.5,779.52,-207.08,80.45,-178.77,133.59
00:20.5,781.38,-205.21,80.49,-178.92,135.05
00:20.5,783.27,-203.33,80.53,-179.06,136.41
00:20.6,785.17,-201.42,80.57,-179.19,137.76
00:20.6,787.09,-199.5,80.6,-179.34,139.03
00:20.7,789.04,-197.56,80.63,-179.44,140.83
00:20.8,791,-195.59,80.66,-179.4,142.31
00:20.8,792.99,-193.61,80.68,-179.35,143.62
00:20.8,794.99,-191.6,80.71,-179.29,144.91
00:20.9,797.01,-189.58,80.73,-179.25,146.26
00:21.0,799.05,-187.54,80.76,-179.21,147.77
00:21.0,801.12,-185.48,80.79,-179.18,149.2
00:21.1,803.2,-183.4,80.82,-179.15,150.51
00:21.1,805.3,-181.3,80.85,-179.11,151.87
00:21.1,807.42,-179.18,80.88,-179.07,153.21
00:21.2,809.55,-177.04,80.92,-179.05,154.49
00:21.2,811.71,-174.89,80.95,-179.04,155.66
00:21.3,813.88,-172.72,80.99,-179.02,156.91
00:21.4,816.07,-170.53,81.02,-179.01,158.32
00:21.4,818.27,-168.32,81.06,-179.01,159.55
00:21.5,820.5,-166.1,81.1,-179.01,160.78
00:21.5,822.74,-163.86,81.14,-179.02,161.99
00:21.5,825,-161.6,81.18,-179.04,163.13
00:21.6,827.27,-159.33,81.22,-179.05,164.31
00:21.7,829.56,-157.04,81.26,-179.06,165.49
00:21.7,831.87,-154.73,81.29,-179.08,166.76
00:21.8,834.19,-152.41,81.33,-179.11,167.91
00:21.8,836.53,-150.07,81.37,-179.13,169.04
00:21.9,838.89,-147.71,81.41,-179.15,170.2
00:21.9,841.26,-145.34,81.44,-179.15,171.31
00:22.0,843.65,-142.95,81.48,-179.15,172.36
00:22.0,846.05,-140.55,81.52,-179.14,173.45
00:22.1,848.47,-138.13,81.55,-179.1,174.67
00:22.1,850.9,-135.7,81.59,-179.05,175.73
00:22.1,853.35,-133.25,81.63,-178.95,176.71
00:22.2,855.81,-130.79,81.68,-178.77,177.76
00:22.3,858.29,-128.32,81.73,-178.6,178.91
00:22.3,860.78,-125.83,81.78,-178.5,179.95
00:22.4,863.28,-123.32,81.84,-178.47,180.97
00:22.4,865.8,-120.8,81.91,-178.49,181.94
00:22.5,868.34,-118.27,81.97,-178.52,182.88
00:22.5,870.88,-115.72,82.04,-178.55,183.84
00:22.6,873.44,-113.16,82.11,-178.55,184.81
00:22.6,876.02,-110.59,82.17,-178.55,185.9
00:22.7,878.61,-108,82.24,-178.53,186.99
00:22.7,881.21,-105.4,82.31,-178.48,187.96
00:22.8,883.83,-102.78,82.38,-178.43,188.91
00:22.8,886.46,-100.15,82.45,-178.41,189.78
00:22.9,889.1,-97.51,82.53,-178.38,190.57
00:22.9,891.75,-94.86,82.6,-178.35,191.44
00:23.0,894.42,-92.2,82.68,-178.32,192.4
00:23.0,897.1,-89.52,82.75,-178.32,193.49
00:23.1,899.79,-86.83,82.83,-178.31,194.41
00:23.1,902.5,-84.12,82.91,-178.3,195.27
00:23.1,905.22,-81.4,83,-178.3,196.1
00:23.2,907.95,-78.68,83.08,-178.29,197.07
00:23.2,910.69,-75.93,83.16,-178.29,197.96
00:23.3,913.45,-73.18,83.24,-178.29,198.83
00:23.3,916.22,-70.41,83.33,-178.29,199.65
00:23.4,918.99,-67.64,83.41,-178.28,199.69
00:23.5,921.76,-64.87,83.49,-178.28,199.38
00:23.5,924.52,-62.1,83.58,-178.28,199.05
00:23.6,927.29,-59.34,83.66,-178.28,198.71
00:23.6,930.05,-56.59,83.75,-178.26,198.39
00:23.6,932.8,-53.84,83.83,-178.21,198.1
00:23.7,935.55,-51.09,83.92,-178.14,197.82
00:23.8,938.3,-48.34,84.01,-178.07,197.53
00:23.8,941.04,-45.6,84.1,-178.01,197.25
00:23.8,943.77,-42.87,84.19,-177.97,196.95
00:23.9,946.51,-40.14,84.29,-177.93,196.66
00:23.9,949.24,-37.41,84.39,-177.91,196.37
00:24.0,951.96,-34.69,84.48,-177.9,196.08
00:24.0,954.68,-31.97,84.58,-177.93,195.81
00:24.1,957.4,-29.25,84.68,-177.97,195.52
00:24.1,960.11,-26.54,84.78,-177.98,195.23
00:24.2,962.82,-23.83,84.88,-177.98,194.95
00:24.2,965.53,-21.13,84.98,-178.01,194.68
00:24.3,968.23,-18.43,85.07,-178.03,194.38
00:24.4,970.93,-15.73,85.17,-178.01,194.1
00:24.4,973.62,-13.04,85.26,-177.97,193.82
00:24.4,976.31,-10.35,85.36,-177.94,193.56
00:24.5,979,-7.67,85.46,-177.92,193.29
00:24.6,981.68,-4.98,85.56,-177.92,193.01
00:24.6,984.36,-2.31,85.65,-177.94,192.73
00:24.6,987.03,0.37,85.75,-177.98,192.46
00:24.7,989.71,3.04,85.85,-178.02,192.18
00:24.8,992.37,5.7,85.94,-178.04,191.9
00:24.8,995.04,8.36,86.04,-178.05,191.62
00:24.8,997.7,11.02,86.13,-178.08,191.35
00:24.9,1000.35,13.67,86.22,-178.11,191.08
00:24.9,1003.01,16.33,86.31,-178.14,190.8
00:25.0,1005.65,18.97,86.4,-178.18,190.53
00:25.1,1008.3,21.61,86.49,-178.23,190.26
00:25.1,1010.94,24.25,86.57,-178.31,190
00:25.1,1013.57,26.89,86.65,-178.39,189.73
00:25.2,1016.21,29.52,86.73,-178.46,189.45
00:25.3,1018.84,32.15,86.81,-178.5,189.17
00:25.3,1021.46,34.77,86.88,-178.52,188.89
00:25.4,1024.09,37.39,86.95,-178.52,188.63
00:25.4,1026.7,40.01,87.02,-178.53,188.37
00:25.5,1029.32,42.63,87.09,-178.54,188.11
