,sLapDistance,xCarX,xCarY,vCar
00:19.0,897.18,215.46,269.91,109.36
00:19.0,898.7,215.45,271.43,109.67
00:19.1,900.22,215.48,272.96,109.98
00:19.1,901.75,215.55,274.49,110.33
00:19.1,903.29,215.65,276.02,110.75
00:19.2,904.83,215.78,277.55,111.33
00:19.3,906.38,215.94,279.09,112.03
00:19.3,907.94,216.14,280.64,112.84
00:19.4,909.51,216.38,282.2,113.77
00:19.4,911.1,216.67,283.76,114.74
00:19.5,912.69,216.99,285.33,115.75
00:19.5,914.31,217.34,286.9,116.82
00:19.6,915.93,217.72,288.49,118.11
00:19.6,917.58,218.13,290.09,119.56
00:19.6,919.25,218.57,291.7,120.98
00:19.7,920.94,219.05,293.32,122.37
00:19.7,922.65,219.56,294.95,123.76
00:19.8,924.38,220.11,296.59,125.1
00:19.8,926.12,220.68,298.24,126.4
00:19.9,927.88,221.28,299.89,127.68
00:20.0,929.66,221.89,301.56,128.92
00:20.0,931.45,222.52,303.24,130.05
00:20.1,933.27,223.19,304.93,131.42
00:20.1,935.1,223.89,306.62,132.94
00:20.1,936.95,224.64,308.31,134.28
00:20.2,938.83,225.44,310,135.79
00:20.3,940.72,226.28,311.7,137.45
00:20.3,942.65,227.16,313.4,139.3
00:20.4,944.59,228.07,315.11,141.32
00:20.4,946.57,229.04,316.84,143.57
00:20.5,948.58,230.04,318.57,145.67
00:20.5,950.62,231.08,320.31,147.69
00:20.5,952.68,232.16,322.07,149.75
00:20.6,954.78,233.27,323.83,151.77
00:20.6,956.9,234.43,325.6,153.74
00:20.7,959.05,235.63,327.38,155.78
00:20.8,961.23,236.88,329.16,157.73
00:20.8,963.43,238.17,330.93,159.68
00:20.8,965.66,239.5,332.72,161.58
00:20.9,967.92,240.86,334.52,163.3
00:21.0,970.2,242.24,336.32,165.11
00:21.0,972.5,243.66,338.14,166.98
00:21.1,974.84,245.11,339.96,168.82
00:21.1,977.19,246.6,341.78,170.68
00:21.1,979.58,248.11,343.62,172.51
00:21.2,981.99,249.65,345.46,174.26
